time,GEM_ver,state_ID,x1,x2
0.0,1.0,1.0,500.0,500.0
0.1,1.0,1.0,467.0,487.0
0.2,1.0,1.0,445.0,452.0
0.3,1.0,1.0,419.0,430.0
0.4,1.0,1.0,415.0,431.0
0.5,1.0,1.0,400.0,403.0
0.6,1.0,1.0,385.0,381.0
0.7,1.0,1.0,397.0,372.0
0.8,1.0,1.0,393.0,373.0
0.9,1.0,1.0,376.0,382.0
1.0,1.0,1.0,381.0,390.0
1.1,1.0,1.0,364.0,383.0
1.2,1.0,1.0,383.0,385.0
1.3,1.0,1.0,373.0,386.0
1.4,1.0,1.0,357.0,380.0
1.5,1.0,1.0,359.0,387.0
1.6,1.0,1.0,364.0,390.0
1.7,1.0,1.0,357.0,416.0
1.8,1.0,1.0,368.0,410.0
1.9,1.0,1.0,377.0,420.0
2.0,1.0,1.0,372.0,404.0
2.1,1.0,1.0,389.0,404.0
2.2,1.0,1.0,366.0,408.0
2.3,1.0,1.0,363.0,390.0
2.4,1.0,1.0,347.0,378.0
2.5,1.0,1.0,335.0,384.0
2.6,1.0,1.0,344.0,413.0
2.7,1.0,1.0,354.0,408.0
2.8,1.0,1.0,402.0,408.0
2.9,1.0,1.0,405.0,388.0
3.0,1.0,1.0,397.0,372.0
3.1,1.0,1.0,382.0,367.0
3.2,1.0,1.0,368.0,379.0
3.3,1.0,1.0,359.0,369.0
3.4,1.0,1.0,381.0,363.0
3.5,1.0,1.0,378.0,375.0
3.6,1.0,1.0,385.0,361.0
3.7,1.0,1.0,367.0,377.0
3.8,1.0,1.0,380.0,369.0
3.9,1.0,1.0,391.0,374.0
4.0,1.0,1.0,399.0,366.0
4.1,1.0,1.0,397.0,377.0
4.2,1.0,1.0,372.0,383.0
4.3,1.0,1.0,380.0,383.0
4.4,1.0,1.0,371.0,372.0
4.5,1.0,1.0,369.0,367.0
4.6,1.0,1.0,354.0,348.0
4.7,1.0,1.0,366.0,318.0
4.8,1.0,1.0,368.0,328.0
4.9,1.0,1.0,367.0,353.0
5.0,1.0,1.0,349.0,339.0
5.1,1.0,1.0,368.0,347.0
5.2,1.0,1.0,369.0,341.0
5.3,1.0,1.0,382.0,373.0
5.4,1.0,1.0,385.0,370.0
5.5,1.0,1.0,384.0,377.0
5.6,1.0,1.0,382.0,384.0
5.7,1.0,1.0,393.0,377.0
5.8,1.0,1.0,385.0,381.0
5.9,1.0,1.0,383.0,381.0
6.0,1.0,1.0,387.0,394.0
6.1,1.0,1.0,374.0,380.0
6.2,1.0,1.0,391.0,367.0
6.3,1.0,1.0,374.0,386.0
6.4,1.0,1.0,381.0,408.0
6.5,1.0,1.0,373.0,400.0
6.6,1.0,1.0,373.0,389.0
6.7,1.0,1.0,366.0,378.0
6.8,1.0,1.0,340.0,390.0
6.9,1.0,1.0,349.0,374.0
7.0,1.0,1.0,351.0,385.0
7.1,1.0,1.0,347.0,389.0
7.2,1.0,1.0,352.0,396.0
7.3,1.0,1.0,348.0,387.0
7.4,1.0,1.0,361.0,391.0
7.5,1.0,1.0,371.0,391.0
7.6,1.0,1.0,375.0,396.0
7.7,1.0,1.0,377.0,384.0
7.8,1.0,1.0,365.0,370.0
7.9,1.0,1.0,369.0,357.0
8.0,1.0,1.0,384.0,361.0
8.1,1.0,1.0,398.0,373.0
8.2,1.0,1.0,396.0,366.0
8.3,1.0,1.0,418.0,350.0
8.4,1.0,1.0,414.0,381.0
8.5,1.0,1.0,400.0,391.0
8.6,1.0,1.0,386.0,396.0
8.7,1.0,1.0,374.0,403.0
8.8,1.0,1.0,384.0,378.0
8.9,1.0,1.0,380.0,376.0
9.0,1.0,1.0,365.0,381.0
9.1,1.0,1.0,376.0,367.0
9.2,1.0,1.0,384.0,367.0
9.3,1.0,1.0,400.0,363.0
9.4,1.0,1.0,388.0,357.0
9.5,1.0,1.0,387.0,340.0
9.6,1.0,1.0,395.0,349.0
9.7,1.0,1.0,385.0,353.0
9.8,1.0,1.0,409.0,359.0
9.9,1.0,1.0,389.0,372.0
10.0,1.0,1.0,377.0,370.0
0.0,1.0,2.0,50.0,50.0
0.1,1.0,2.0,50.0,50.0
0.2,1.0,2.0,50.0,49.0
0.3,1.0,2.0,50.0,49.0
0.4,1.0,2.0,48.0,48.0
0.5,1.0,2.0,48.0,48.0
0.6,1.0,2.0,48.0,48.0
0.7,1.0,2.0,48.0,48.0
0.8,1.0,2.0,47.0,48.0
0.9,1.0,2.0,47.0,48.0
1.0,1.0,2.0,47.0,48.0
1.1,1.0,2.0,47.0,48.0
1.2,1.0,2.0,47.0,47.0
1.3,1.0,2.0,47.0,47.0
1.4,1.0,2.0,47.0,47.0
1.5,1.0,2.0,47.0,47.0
1.6,1.0,2.0,47.0,47.0
1.7,1.0,2.0,47.0,47.0
1.8,1.0,2.0,47.0,47.0
1.9,1.0,2.0,47.0,46.0
2.0,1.0,2.0,47.0,46.0
2.1,1.0,2.0,47.0,46.0
2.2,1.0,2.0,47.0,46.0
2.3,1.0,2.0,47.0,46.0
2.4,1.0,2.0,47.0,46.0
2.5,1.0,2.0,47.0,46.0
2.6,1.0,2.0,47.0,45.0
2.7,1.0,2.0,47.0,45.0
2.8,1.0,2.0,47.0,44.0
2.9,1.0,2.0,47.0,43.0
3.0,1.0,2.0,47.0,43.0
3.1,1.0,2.0,47.0,43.0
3.2,1.0,2.0,47.0,41.0
3.3,1.0,2.0,47.0,41.0
3.4,1.0,2.0,47.0,41.0
3.5,1.0,2.0,47.0,41.0
3.6,1.0,2.0,47.0,41.0
3.7,1.0,2.0,47.0,41.0
3.8,1.0,2.0,47.0,41.0
3.9,1.0,2.0,47.0,41.0
4.0,1.0,2.0,47.0,41.0
4.1,1.0,2.0,47.0,41.0
4.2,1.0,2.0,47.0,41.0
4.3,1.0,2.0,47.0,41.0
4.4,1.0,2.0,47.0,41.0
4.5,1.0,2.0,47.0,41.0
4.6,1.0,2.0,46.0,41.0
4.7,1.0,2.0,45.0,41.0
4.8,1.0,2.0,45.0,41.0
4.9,1.0,2.0,45.0,41.0
5.0,1.0,2.0,45.0,41.0
5.1,1.0,2.0,45.0,41.0
5.2,1.0,2.0,44.0,41.0
5.3,1.0,2.0,44.0,40.0
5.4,1.0,2.0,44.0,40.0
5.5,1.0,2.0,44.0,40.0
5.6,1.0,2.0,43.0,40.0
5.7,1.0,2.0,43.0,40.0
5.8,1.0,2.0,42.0,40.0
5.9,1.0,2.0,42.0,40.0
6.0,1.0,2.0,42.0,40.0
6.1,1.0,2.0,42.0,40.0
6.2,1.0,2.0,42.0,40.0
6.3,1.0,2.0,42.0,40.0
6.4,1.0,2.0,42.0,40.0
6.5,1.0,2.0,42.0,40.0
6.6,1.0,2.0,41.0,40.0
6.7,1.0,2.0,41.0,40.0
6.8,1.0,2.0,41.0,40.0
6.9,1.0,2.0,41.0,40.0
7.0,1.0,2.0,41.0,39.0
7.1,1.0,2.0,41.0,39.0
7.2,1.0,2.0,40.0,39.0
7.3,1.0,2.0,40.0,39.0
7.4,1.0,2.0,40.0,39.0
7.5,1.0,2.0,40.0,39.0
7.6,1.0,2.0,40.0,39.0
7.7,1.0,2.0,40.0,39.0
7.8,1.0,2.0,40.0,39.0
7.9,1.0,2.0,40.0,39.0
8.0,1.0,2.0,40.0,39.0
8.1,1.0,2.0,40.0,39.0
8.2,1.0,2.0,39.0,38.0
8.3,1.0,2.0,39.0,38.0
8.4,1.0,2.0,39.0,38.0
8.5,1.0,2.0,39.0,38.0
8.6,1.0,2.0,39.0,38.0
8.7,1.0,2.0,39.0,38.0
8.8,1.0,2.0,39.0,38.0
8.9,1.0,2.0,39.0,38.0
9.0,1.0,2.0,39.0,38.0
9.1,1.0,2.0,39.0,38.0
9.2,1.0,2.0,39.0,38.0
9.3,1.0,2.0,39.0,38.0
9.4,1.0,2.0,38.0,38.0
9.5,1.0,2.0,38.0,38.0
9.6,1.0,2.0,38.0,37.0
9.7,1.0,2.0,38.0,37.0
9.8,1.0,2.0,38.0,37.0
9.9,1.0,2.0,38.0,37.0
10.0,1.0,2.0,38.0,37.0
0.0,1.0,3.0,5.0,5.0
0.1,1.0,3.0,5.0,5.0
0.2,1.0,3.0,5.0,5.0
0.3,1.0,3.0,5.0,5.0
0.4,1.0,3.0,5.0,5.0
0.5,1.0,3.0,5.0,5.0
0.6,1.0,3.0,5.0,5.0
0.7,1.0,3.0,5.0,5.0
0.8,1.0,3.0,5.0,5.0
0.9,1.0,3.0,5.0,5.0
1.0,1.0,3.0,5.0,5.0
1.1,1.0,3.0,5.0,5.0
1.2,1.0,3.0,5.0,5.0
1.3,1.0,3.0,5.0,5.0
1.4,1.0,3.0,5.0,5.0
1.5,1.0,3.0,5.0,5.0
1.6,1.0,3.0,5.0,5.0
1.7,1.0,3.0,5.0,5.0
1.8,1.0,3.0,5.0,5.0
1.9,1.0,3.0,5.0,5.0
2.0,1.0,3.0,5.0,5.0
2.1,1.0,3.0,5.0,5.0
2.2,1.0,3.0,5.0,5.0
2.3,1.0,3.0,5.0,5.0
2.4,1.0,3.0,5.0,5.0
2.5,1.0,3.0,5.0,5.0
2.6,1.0,3.0,5.0,5.0
2.7,1.0,3.0,5.0,5.0
2.8,1.0,3.0,5.0,5.0
2.9,1.0,3.0,5.0,5.0
3.0,1.0,3.0,5.0,5.0
3.1,1.0,3.0,5.0,5.0
3.2,1.0,3.0,5.0,5.0
3.3,1.0,3.0,5.0,5.0
3.4,1.0,3.0,5.0,5.0
3.5,1.0,3.0,5.0,5.0
3.6,1.0,3.0,5.0,5.0
3.7,1.0,3.0,5.0,5.0
3.8,1.0,3.0,5.0,5.0
3.9,1.0,3.0,5.0,5.0
4.0,1.0,3.0,5.0,5.0
4.1,1.0,3.0,5.0,5.0
4.2,1.0,3.0,5.0,5.0
4.3,1.0,3.0,5.0,5.0
4.4,1.0,3.0,5.0,5.0
4.5,1.0,3.0,5.0,5.0
4.6,1.0,3.0,5.0,5.0
4.7,1.0,3.0,5.0,5.0
4.8,1.0,3.0,5.0,5.0
4.9,1.0,3.0,5.0,5.0
5.0,1.0,3.0,5.0,5.0
5.1,1.0,3.0,5.0,5.0
5.2,1.0,3.0,5.0,5.0
5.3,1.0,3.0,5.0,5.0
5.4,1.0,3.0,5.0,5.0
5.5,1.0,3.0,5.0,5.0
5.6,1.0,3.0,5.0,5.0
5.7,1.0,3.0,5.0,5.0
5.8,1.0,3.0,5.0,5.0
5.9,1.0,3.0,5.0,5.0
6.0,1.0,3.0,5.0,5.0
6.1,1.0,3.0,5.0,5.0
6.2,1.0,3.0,5.0,5.0
6.3,1.0,3.0,5.0,5.0
6.4,1.0,3.0,5.0,5.0
6.5,1.0,3.0,5.0,5.0
6.6,1.0,3.0,5.0,5.0
6.7,1.0,3.0,5.0,5.0
6.8,1.0,3.0,5.0,5.0
6.9,1.0,3.0,5.0,5.0
7.0,1.0,3.0,5.0,5.0
7.1,1.0,3.0,5.0,5.0
7.2,1.0,3.0,5.0,5.0
7.3,1.0,3.0,5.0,5.0
7.4,1.0,3.0,5.0,5.0
7.5,1.0,3.0,5.0,5.0
7.6,1.0,3.0,5.0,5.0
7.7,1.0,3.0,5.0,5.0
7.8,1.0,3.0,5.0,5.0
7.9,1.0,3.0,5.0,5.0
8.0,1.0,3.0,5.0,5.0
8.1,1.0,3.0,5.0,5.0
8.2,1.0,3.0,5.0,5.0
8.3,1.0,3.0,5.0,5.0
8.4,1.0,3.0,5.0,5.0
8.5,1.0,3.0,5.0,5.0
8.6,1.0,3.0,5.0,5.0
8.7,1.0,3.0,5.0,5.0
8.8,1.0,3.0,5.0,5.0
8.9,1.0,3.0,5.0,5.0
9.0,1.0,3.0,5.0,5.0
9.1,1.0,3.0,5.0,5.0
9.2,1.0,3.0,5.0,5.0
9.3,1.0,3.0,5.0,5.0
9.4,1.0,3.0,5.0,5.0
9.5,1.0,3.0,5.0,5.0
9.6,1.0,3.0,5.0,5.0
9.7,1.0,3.0,5.0,5.0
9.8,1.0,3.0,5.0,5.0
9.9,1.0,3.0,5.0,5.0
10.0,1.0,3.0,5.0,5.0
